ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44851 3 45104 9 45358 13 45613 14 45868 15 46124 15 46380 15 46636 14 46892 13 47149 11 47407 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,28248 2 28504 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 6 50278 10 50533 12 50787 15 51042 16 51297 18 51553 18 51808 18 52064 18 52320 18 52576 18 52832 17 53088 17 53345 15 53601 14 53858 12 54116 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 7 11146 9 11400 12 11655 13 11910 15 12166 15 12421 15 12677 15 12932 15 13188 15 13444 14 13700 13 13957 11 14213 10 14470 8 14729 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31377 4 31629 11 31883 14 32138 16 32393 17 32648 19 32903 20 33159 20 33415 20 33670 20 33926 20 34182 19 34438 18 34695 16 34951 15 35208 12 35465 10 35724 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50842 5 51096 8 51350 10 51605 11 51860 12 52115 13 52370 14 52626 14 52881 14 53137 14 53392 14 53648 13 53904 12 54160 11 54417 8 54674 6 54932 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31132 5 31388 5 31644 6 31900 6 32156 6 32412 6 32668 6 32925 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39073 10 39327 12 39582 13 39837 14 40093 14 40349 14 40605 14 40861 13 41117 13 41374 11 41630 10 41887 8 42144 6 42402 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 2 47749 4 48268 5 48787 5 49306 5 49825 6 50344 7 50363 3 50863 7 50880 7 51382 8 51398 9 51901 8 51917 11 52420 9 52435 13 52939 10 52954 13 53458 12 53472 15 53977 30 54496 30 55015 31 55534 32 56053 32 56572 33 57091 33 57610 33 58129 33 58648 34 59167 34 59686 34 60205 34 60724 34 61243 34 61762 34 62281 34 62800 34 63319 33 63838 33 64357 32 64876 32 65395 32 65914 32 66433 32 66952 33 67471 33 67990 34 68509 36 69028 37 69547 38 70066 38 70586 38 71105 39 71624 40 72143 41 72662 41 73182 41 73704 39 74224 39 74745 38 75265 38 75308 7 75785 38 75825 11 76304 53 76823 54 77342 55 77861 55 78379 56 78898 56 79416 58 79934 59 80452 60 80970 62 81488 63 82007 63 82526 63 83045 63 83564 63 84084 62 84603 62 85123 61 85643 60 86162 60 86682 59 87202 58 87721 57 88241 56 88760 56 89280 54 89799 54 90319 53 90838 52 91357 53 91877 52 92397 52 92916 53 93435 53 93955 53 94475 53 94994 55 95514 56 96033 57 96553 58 97072 59 97592 58 98111 59 98631 59 99150 59 99670 58 100189 59 100708 60 101227 61 101746 62 102266 62 102785 62 103304 63 103824 63 104344 63 104864 62 105384 62 105905 60 106425 60 106946 59 107467 57 107988 56 108510 54 109030 53 109550 53 110070 53 110590 53 111110 53 111630 54 112150 55 112670 55 113190 55 113710 55 114229 56 114749 56 115269 56 115789 56 116308 56 116828 56 117347 57 117867 56 118386 57 118906 57 119425 57 119945 57 120465 56 120985 56 121504 57 122024 57 122543 58 123063 57 123582 58 124102 58 124622 57 125142 58 125662 58 126183 56 126249 10 126703 56 126766 13 127223 57 127285 15 127743 57 127803 16 128263 76 128783 75 129302 28 129342 35 129821 26 129863 34 130341 13 130357 8 130382 34 130908 2 130911 23
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117815 1 118334 3 118852 4 119371 5 119890 5 120409 6 120928 6 121447 7 121966 7 122485 7 123004 7 123523 8 124042 8 124561 8 125080 8 125599 9 126118 9 126637 9 127156 8 127675 8 128194 8 128713 7 129232 7 129751 7 130271 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24936 9 25452 14 25969 17 26487 19 27004 22 27521 24 28039 26 28557 27 29076 28 29594 29 30112 30 30631 30 31149 31 31668 31 32187 30 32706 30 33225 29 33744 28 34264 26 34783 25 35302 24 35822 21 36342 18 36861 16 37381 13 37902 10 38423 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117845 6 118363 9 118880 12 119398 14 119916 16 120435 17 120954 18 121473 18 121992 19 122511 19 123029 21 123548 21 124067 21 124586 21 125105 21 125624 20 126143 20 126662 20 127182 19 127701 18 128220 18 128740 17 129259 16 129779 15 130299 13 130821 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6796 8 7314 11 7832 13 8350 15 8868 17 8897 6 9387 18 9415 9 9905 20 9933 11 10424 21 10451 13 10942 23 10969 15 11461 24 11486 18 11980 43 12499 44 13017 45 13536 45 14055 45 14574 46 15093 46 15612 25 15640 19 16132 24 16159 19 16651 23 16679 18 17170 23 17200 16 17689 22 17719 16 18208 21 18239 16 18727 21 18759 15 19246 20 19279 14 19765 19 19798 15 20285 17 20318 14 20804 16 20837 14 21323 16 21356 14 21843 14 21876 13 22362 12 22395 13 22883 10 22915 11 23403 7 23435 9 23955 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28606 11 29122 17 29639 20 30156 23 30674 25 31192 26 31710 27 32229 27 32747 28 33265 29 33784 28 34303 27 34822 27 35340 27 35859 26 36378 25 36897 23 37416 22 37935 21 38454 20 38973 19 39493 17 40012 16 40532 13 41053 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46266 10 46782 17 47300 21 47818 23 48336 25 48854 26 49373 26 49891 27 50410 27 50928 28 51447 28 51966 28 52485 27 53005 25 53524 24 54044 21 54564 18 55086 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63411 4 63927 10 64444 14 64962 16 65480 18 65999 18 66517 20 67035 21 67554 22 68072 23 68590 24 69109 24 69628 25 70147 25 70666 25 71185 25 71704 25 72223 25 72742 25 73261 25 73781 23 74300 23 74820 22 75339 22 75858 21 76378 20 76897 19 77417 17 77936 17 78456 15 78975 14 79495 12 80015 10 80536 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 8 603 10 1123 9 1643 7 2164 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93030 2 93546 9 94063 13 94581 16 95099 18 95618 19 96136 21 96655 21 97174 22 97693 23 98212 23 98731 24 99250 24 99770 24 100289 24 100808 24 101328 23 101847 24 102366 23 102886 22 103406 21 103926 19 104446 18 104966 16 105487 13 106009 9 106533 1
